id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156	
205026_at	STAT5B	F	F	F	F	F	F	F	M	
211758_x_at	TXNDC9	P	M	P	P	M	F	F	F	
203418_at	CCNA2	P	P	P	P	P	P	P	P	
212399_s_at	VGLL4	P	P	P	P	P	F	P	P	
205467_at	CASP10	M	F	M	M	F	F	P	P	
202675_at	SDHB	P	P	P	P	P	P	P	P	
214447_at	ETS1	P	P	P	P	P	F	P	P	
221741_s_at	YTHDF1	P	P	P	P	P	M	P	P	
205451_at	FOXO4	F	F	M	M	F	F	F	M	
211747_s_at	LSM5	P	P	P	P	F	P	P	P	
201870_at	TOMM34	P	P	P	P	P	M	P	P	
202778_s_at	ZMYM2	P	M	P	P	M	F	P	P	
218743_at	CHMP6	M	F	F	M	F	F	F	M	
202220_at	KIAA0907	P	P	P	P	P	M	P	P	
207181_s_at	CASP7	P	M	P	P	P	F	P	P	
200697_at	HK1	P	P	P	P	P	M	P	P	
202466_at	PAPD7	P	P	P	P	P	M	P	P	
205452_at	PIGB	P	P	P	P	P	F	P	P	
210416_s_at	CHEK2	M	M	M	P	F	F	P	M	
202185_at	PLOD3	P	P	P	P	P	P	P	P	
204617_s_at	ACD	P	F	P	P	P	F	P	P	
202125_s_at	TRAK2	P	M	P	P	F	F	P	P	
212894_at	SUPV3L1	P	P	P	P	P	M	P	P	
202550_s_at	VAPB	P	M	P	P	M	F	P	P	
212485_at	GPATCH8	P	M	P	P	M	M	P	P	
200807_s_at	HSPD1	P	P	P	P	P	P	P	P	
203755_at	BUB1B	P	P	P	P	P	M	P	P	
207334_s_at	TGFBR2	P	P	P	P	P	F	P	P	
203931_s_at	MRPL12	P	P	P	P	P	P	P	P	
218902_at	NOTCH1	P	P	P	P	P	F	P	P	
201695_s_at	PNP	P	P	P	P	P	P	P	P	
201469_s_at	SHC1	P	P	P	P	P	F	P	P	
221482_s_at	ARPP19	P	P	P	P	P	F	P	P	
204039_at	CEBPA	F	F	F	F	F	F	F	F	
201052_s_at	PSMF1	P	M	P	P	P	F	P	P	
34408_at	RTN2	P	P	P	P	M	F	P	P	
89476_r_at	NPEPL1	P	M	P	P	M	F	P	P	
202413_s_at	USP1	P	P	P	P	P	F	P	P	
201528_at	RPA1	P	P	P	P	P	P	P	P	
221562_s_at	SIRT3	M	F	M	M	F	F	M	M	
217906_at	KLHDC2	P	P	P	P	P	P	P	P	
215884_s_at	UBQLN2	P	P	P	P	P	F	P	P	
203301_s_at	DMTF1	P	P	P	P	M	F	P	P	
201819_at	SCARB1	P	M	P	P	P	F	P	P	
204809_at	CLPX	P	P	P	P	M	F	P	P	
210986_s_at	TPM1	P	P	P	P	P	M	P	P	
201078_at	TM9SF2	P	P	P	P	P	F	P	P	
218794_s_at	TXNL4B	M	F	M	P	F	F	M	P	
203952_at	ATF6	P	P	P	P	P	F	P	P	
219127_at	PRR15L	F	F	F	F	F	F	F	M	
202900_s_at	NUP88	P	P	P	P	P	P	P	P	
204542_at	ST6GALNAC2	M	F	P	M	F	F	M	P	
208847_s_at	ADH5	P	P	P	P	P	M	P	P	
206109_at	FUT1	M	F	M	F	F	F	F	M	
218193_s_at	GOLT1B	P	P	P	P	P	F	P	P	
209586_s_at	PRUNE	F	F	F	F	F	F	F	F	
204788_s_at	PPOX	P	P	P	P	M	F	P	P	
201260_s_at	SYPL1	P	P	P	P	P	P	P	P	
221732_at	CANT1	P	P	P	P	P	P	P	P	
212557_at	ZNF451	P	P	P	P	P	M	P	P	
217080_s_at	HOMER2	M	F	M	M	F	M	M	P	
202100_at	RALB	P	P	P	P	P	M	P	P	
205172_x_at	CLTB	P	P	P	P	P	P	P	P	
203659_s_at	TRIM13	P	M	P	P	M	F	P	P	
201178_at	FBXO7	P	P	P	P	P	F	P	P	
205450_at	PHKA1	P	F	P	P	F	F	P	P	
208905_at	CYCS	P	P	P	P	P	F	P	P	
37152_at	PPARD	P	M	P	P	M	F	P	P	
204143_s_at	ENOSF1	F	F	F	F	F	F	F	F	
206571_s_at	MAP4K4	P	P	P	P	P	F	P	P	
203117_s_at	PAN2	M	F	F	F	F	F	F	F	
208992_s_at	STAT3	F	F	F	M	F	F	M	F	
202726_at	LIG1	P	P	P	P	P	M	P	P	
204517_at	PPIC	P	P	P	P	P	F	P	P	
208708_x_at	EIF5	P	P	P	P	P	M	P	P	
204000_at	GNB5	P	P	P	P	P	F	P	P	
209576_at	GNAI1	F	F	F	F	F	F	P	P	
201626_at	INSIG1	P	P	P	P	P	M	P	P	
218457_s_at	DNMT3A	P	P	P	P	P	F	P	P	
217758_s_at	TM9SF3	P	M	P	P	M	F	P	P	
203119_at	CCDC86	P	P	P	P	P	P	P	P	
202708_s_at	HIST2H2BE	P	F	M	P	F	F	M	P	
203186_s_at	S100A4	P	P	P	P	P	P	P	P	
204587_at	SLC25A14	M	F	F	M	F	F	F	M	
200915_x_at	KTN1	P	P	P	P	P	P	P	P	
336_at	TBXA2R	P	F	M	P	F	F	M	P	
202117_at	ARHGAP1	P	P	P	P	P	M	P	P	
219208_at	FBXO11	F	F	F	M	F	F	F	M	
217168_s_at	HERPUD1	P	P	P	P	P	F	P	P	
206723_s_at	LPAR2	P	M	P	P	M	F	P	P	
201913_s_at	COASY	P	P	P	P	M	F	P	P	
210115_at	RPL39L	F	M	M	M	F	F	M	M	
205750_at	BPHL	P	P	P	P	M	F	P	P	
202677_at	RASA1	P	P	P	P	P	P	P	P	
201855_s_at	ATMIN	F	F	M	M	F	F	M	F	
202788_at	MAPKAPK3	P	P	P	P	P	F	P	P	
202763_at	CASP3	P	P	P	P	P	M	P	P	
209179_s_at	MBOAT7	P	P	P	P	P	P	P	P	
218961_s_at	PNKP	P	P	P	P	P	F	P	P	
201762_s_at	PSME2	P	P	P	P	P	P	P	P	
201591_s_at	NISCH	P	P	P	P	P	F	P	P	
206770_s_at	SLC35A3	M	F	P	P	F	F	M	P	
206688_s_at	CPSF4	P	P	P	P	P	M	P	P	
208190_s_at	LSR	P	M	P	P	F	F	P	P	
201098_at	COPB2	P	P	P	P	P	P	P	P	
207968_s_at	MEF2C	F	F	F	M	F	F	F	P	
203725_at	GADD45A	P	P	P	P	P	P	P	P	
202040_s_at	KDM5A	P	M	P	P	F	F	P	P	
221856_s_at	FAM63A	M	M	P	P	F	F	M	P	
200071_at	SMNDC1	P	P	P	P	P	F	P	P	
201270_x_at	NUDCD3	P	P	P	P	P	P	P	P	
203582_s_at	RAB4A	P	M	P	P	F	F	P	P	
203639_s_at	FGFR2	P	F	M	M	F	F	P	P	
209100_at	IFRD2	P	P	P	P	P	P	P	P	
217867_x_at	BACE2	P	P	P	P	P	M	P	P	
202540_s_at	HMGCR	P	M	P	P	P	F	P	P	
210754_s_at	LYN	F	F	F	F	F	F	F	M	
202433_at	SLC35B1	P	P	P	P	P	M	P	P	
218170_at	ISOC1	P	P	P	P	P	F	P	P	
203167_at	TIMP2	P	P	P	P	P	M	P	P	
201536_at	DUSP3	P	M	P	P	P	F	P	P	
205036_at	LSM6	P	P	P	P	M	F	P	P	
200622_x_at	CALM3	P	M	P	P	M	F	P	P	
205130_at	MOK	M	F	M	M	F	F	M	P	
216347_s_at	PPP1R13B	M	F	M	M	F	F	M	P	
202797_at	SACM1L	P	P	P	P	P	P	P	P	
202500_at	DNAJB2	P	P	P	P	P	F	P	P	
202396_at	TCERG1	P	P	P	P	P	P	P	P	
218421_at	CERK	P	M	P	P	M	F	P	P	
201985_at	KIAA0196	P	P	P	P	P	F	P	P	
215116_s_at	DNM1	M	F	M	P	F	F	M	P	
217933_s_at	LAP3	P	P	P	P	P	P	P	P	
202887_s_at	DDIT4	P	P	P	P	P	P	P	P	
212871_at	MAPKAPK5	P	P	P	P	P	F	P	P	
205633_s_at	ALAS1	P	P	P	P	P	P	P	P	
209526_s_at	HDGFRP3	M	F	P	P	F	F	M	M	
200816_s_at	PAFAH1B1	P	P	P	P	P	F	P	P	
206099_at	PRKCH	F	F	F	M	F	F	M	P	
201896_s_at	PSRC1	P	P	P	P	P	M	P	P	
203885_at	RAB21	P	M	P	P	M	F	P	P	
218498_s_at	ERO1L	P	P	P	P	P	F	P	P	
209337_at	PSIP1	P	P	P	P	P	F	P	P	
203381_s_at	APOE	F	F	F	F	F	F	F	F	
204313_s_at	CREB1	P	M	P	P	M	F	P	P	
203640_at	MBNL2	P	P	P	P	P	F	P	P	
