id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156
221785_at	WIZ	7.1885	6.5276	6.7514	6.7852	6.4642	6.7977	6.8209	7.0159
52005_at	WIZ	8.3214	8.3724	8.6315	8.6523	8.5873	8.7164	8.8677	8.5509
221958_s_at	WLS	11.9275	11.0946	11.5814	11.6347	11.0232	11.0109	12.4066	12.1737
202940_at	WNK1	6.2260	5.8467	5.6349	6.4161	5.0369	5.8762	5.6449	6.1852
211992_at	WNK1	9.9115	9.4906	9.7162	10.2850	9.3460	10.1059	10.3721	10.1224
211993_at	WNK1	7.1877	7.4126	7.1826	7.7459	7.1251	7.4598	7.2868	7.3217
211994_at	WNK1	8.9617	9.0399	8.9898	10.1621	9.1266	9.7794	9.4198	9.3384
39313_at	WNK1	6.4455	6.2924	5.9404	6.3430	5.2486	5.6337	5.9140	6.2910
208570_at	WNT1	5.4074	5.2057	5.3440	5.1992	5.4186	5.5713	5.2566	5.5291
206213_at	WNT10B	5.2051	5.1851	5.7058	5.8042	5.6027	5.2475	5.4230	5.4107
206737_at	WNT11	6.5546	6.4117	6.5630	6.0926	6.2611	6.0585	6.4444	6.3989
221113_s_at	WNT16	6.6789	6.2816	6.3514	6.8298	6.4944	6.7760	6.4521	6.8001
205648_at	WNT2	4.9924	4.4043	4.7891	4.3622	4.1864	5.0605	4.6287	4.0528
206458_s_at	WNT2B	4.9650	4.8129	4.6964	4.6883	4.5329	4.9092	4.7783	5.1552
206459_s_at	WNT2B	5.3856	5.4759	5.3445	5.4934	5.4455	5.8915	5.3722	5.5577
221455_s_at	WNT3	5.6962	5.1702	5.4098	5.2182	5.2543	5.7052	5.2127	5.6232
208606_s_at	WNT4	5.1233	4.4866	5.0683	4.5438	4.7531	6.1533	4.8650	5.5804
205990_s_at	WNT5A	5.3601	4.2115	5.5719	5.6736	4.3084	7.1549	4.5107	4.4559
213425_at	WNT5A	5.6449	4.5709	6.0334	5.9143	4.3160	6.9175	4.9579	4.9046
221029_s_at	WNT5B	7.6094	6.9163	7.7111	7.6958	7.7256	8.3485	8.0382	7.9703
221608_at	WNT6	6.2683	6.1280	5.8882	5.9226	5.9692	6.4339	5.8031	6.2793
221609_s_at	WNT6	6.1024	5.6952	6.0287	6.2458	5.9060	6.0452	5.9016	6.5940
222086_s_at	WNT6	5.5139	5.3711	5.3033	5.2481	5.1830	5.6744	5.4480	5.6561
71933_at	WNT6	5.2949	5.4156	5.2904	6.0075	5.7044	5.9371	5.5215	5.8002
210248_at	WNT7A	7.1272	7.1014	7.3494	7.0389	6.8863	7.2353	6.4254	7.4375
207612_at	WNT8B	5.4973	5.3777	5.5290	5.4971	5.3801	5.5081	5.1730	5.6182
220258_s_at	WRAP53	8.3577	8.2982	8.4435	8.2954	8.3942	9.0822	8.0923	8.1948
44563_at	WRAP53	8.6783	8.6646	8.5534	8.6743	8.6552	9.1131	8.3579	8.7328
219322_s_at	WRAP73	8.2127	7.9843	8.3968	7.7833	8.1860	7.9690	8.0483	8.1148
205667_at	WRN	7.6463	7.0451	7.1232	7.6381	7.4524	7.6685	7.3982	7.4823
218015_s_at	WRNIP1	5.2908	5.0969	5.1603	5.2333	5.0108	5.4839	5.0851	5.3997
201294_s_at	WSB1	7.0653	7.7170	6.4493	5.8975	7.0073	8.4097	6.6320	6.7007
201295_s_at	WSB1	7.4835	6.8817	6.7101	6.0458	6.7862	6.8821	6.7822	6.9842
201296_s_at	WSB1	9.6446	10.0611	9.4054	8.4918	9.8325	11.2119	9.6251	9.1853
210561_s_at	WSB1	8.3835	8.4261	8.6462	7.7059	8.1659	9.3223	8.2091	8.1043
213406_at	WSB1	6.7910	6.2689	6.3439	7.1741	6.8389	7.2222	6.6508	7.1311
201760_s_at	WSB2	12.3357	11.4076	12.3891	12.6469	11.8981	11.4234	12.2432	11.7831
213734_at	WSB2	10.6584	9.5850	10.1648	11.0585	9.6699	9.9456	10.3250	10.5226
213155_at	WSCD1	5.8617	5.8583	6.4071	5.9046	6.2171	6.5899	6.1461	5.9956
213157_s_at	WSCD1	5.7684	5.4350	5.8047	5.2096	5.6565	6.3335	5.3878	5.4641
207637_at	WSCD2	5.6129	5.4497	5.5935	5.2084	5.4296	5.4492	5.2616	5.5238
206067_s_at	WT1	7.4507	6.8077	6.8010	7.1447	7.4711	7.9472	6.9510	9.6562
216953_s_at	WT1	5.4227	4.9164	4.6429	4.7766	5.0343	5.5099	5.2015	6.1050
206954_at	WT1-AS	5.4280	5.1018	5.1578	5.2475	5.4528	5.4914	5.3499	6.2960
203137_at	WTAP	9.3397	8.9895	8.9933	8.7210	9.4501	8.5640	9.4834	8.3633
210285_x_at	WTAP	8.7458	8.0845	8.2697	7.9380	8.7703	7.9173	9.1087	8.2590
214759_at	WTAP	6.3410	6.1368	5.8971	6.3041	6.0730	6.1039	6.2277	6.3077
213085_s_at	WWC1	7.1168	7.5404	7.8059	7.2336	7.4638	7.9005	8.1237	8.4841
216074_x_at	WWC1	6.8518	7.6439	7.1348	6.4110	7.0083	7.3505	7.0476	7.4329
218775_s_at	WWC2	6.6826	6.1572	6.2967	5.5239	5.9789	6.1064	6.4748	6.4451
219520_s_at	WWC3	9.2077	10.1004	9.6701	9.4697	9.3116	9.0410	9.7116	9.5537
210695_s_at	WWOX	5.8852	5.9774	5.8510	6.2770	6.0799	6.3471	5.6054	6.4230
219077_s_at	WWOX	3.6445	4.1319	4.0563	3.9349	3.9626	3.7390	3.7937	4.4014
221147_x_at	WWOX	6.1834	5.9840	5.9647	5.9244	5.8198	5.9883	5.6800	6.2157
212637_s_at	WWP1	6.6521	8.2239	6.9585	7.0667	6.8651	7.0152	6.9788	7.0843
212638_s_at	WWP1	6.4663	7.1228	5.8153	7.4347	6.9377	6.8215	7.3902	7.0151
204022_at	WWP2	6.3826	6.6680	6.6042	6.6892	6.8199	6.4367	6.7132	6.7176
210200_at	WWP2	5.7353	5.5761	5.8445	6.0143	5.7661	5.8861	5.7964	6.2536
202132_at	WWTR1	8.4483	8.1689	8.0360	8.0516	8.6263	8.8771	8.4248	7.8045
202133_at	WWTR1	9.5760	9.9595	9.6327	9.6591	9.9289	10.8455	9.9067	9.1526
202134_s_at	WWTR1	7.1963	6.6707	6.6852	7.4538	6.9752	7.3671	7.0833	7.1849
218110_at	XAB2	7.1562	6.7586	6.8148	6.4922	6.6851	7.3364	6.7377	7.1940
206133_at	XAF1	7.1107	5.7151	5.5402	6.0612	5.9841	6.8242	5.8154	5.4247
206365_at	XCL1	5.3312	5.5150	5.2208	5.1991	5.1652	5.2703	5.2745	5.3852
206366_x_at	XCL1	7.9221	6.4536	7.2583	8.0693	6.1453	7.1107	7.0983	7.9516
221468_at	XCR1	5.4512	5.2630	5.1945	5.1935	5.1592	5.4819	5.0530	5.4915
210301_at	XDH	7.2643	6.7103	6.9423	6.7086	6.3546	6.5808	7.3803	7.1083
206536_s_at	XIAP	6.5939	6.4854	6.4338	5.9404	6.0965	6.6369	6.2928	6.7539
206537_at	XIAP	5.4766	5.3508	5.3492	5.1320	5.1814	5.4901	5.1971	5.5165
214218_s_at	XIST	0.4273	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
221728_x_at	XIST	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
206698_at	XK	5.7279	5.1082	5.1626	6.6172	5.2990	6.3605	6.0312	5.4608
218753_at	XKR8	9.3266	8.9016	8.9690	9.3371	8.5985	9.4730	9.3468	9.4319
205672_at	XPA	6.7822	7.3106	6.6643	6.7128	7.0885	6.8120	7.2917	7.1155
209375_at	XPC	6.6410	6.9497	7.1024	6.3124	7.1495	6.4099	6.4837	6.2845
208453_s_at	XPNPEP1	7.0696	8.0611	8.5095	7.3044	7.4584	6.9665	8.2758	7.2553
217380_s_at	XPNPEP1	4.9659	5.1611	4.7861	4.7672	4.8724	4.9199	4.7662	4.7834
222072_at	XPNPEP1	5.2568	5.0881	5.0203	4.9718	5.1798	5.1445	5.0761	5.2277
206484_s_at	XPNPEP2	6.3118	5.8754	5.6095	6.2079	6.5506	6.0373	6.6455	6.9416
